iteration,pin,mapped
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,26,0
0,27,0
0,28,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,26,0
1,27,0
1,28,255
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,26,0
2,27,255
2,28,127
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,26,255
3,27,127
3,28,63
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,255
4,26,127
4,27,63
4,28,31
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,255
5,22,127
5,26,63
5,27,31
5,28,15
6,16,0
6,17,0
6,18,0
6,19,0
6,20,255
6,21,127
6,22,63
6,26,31
6,27,15
6,28,7
7,16,0
7,17,0
7,18,0
7,19,255
7,20,127
7,21,63
7,22,31
7,26,15
7,27,7
7,28,3
8,16,0
8,17,0
8,18,255
8,19,127
8,20,63
8,21,31
8,22,15
8,26,7
8,27,3
8,28,1
9,16,0
9,17,255
9,18,127
9,19,63
9,20,31
9,21,15
9,22,7
9,26,3
9,27,1
9,28,0
10,16,255
10,17,127
10,18,63
10,19,31
10,20,15
10,21,7
10,22,3
10,26,1
10,27,0
10,28,0
11,16,127
11,17,63
11,18,31
11,19,15
11,20,7
11,21,3
11,22,1
11,26,0
11,27,0
11,28,0
12,16,63
12,17,31
12,18,15
12,19,7
12,20,3
12,21,1
12,22,0
12,26,0
12,27,0
12,28,0
13,16,31
13,17,15
13,18,7
13,19,3
13,20,1
13,21,0
13,22,0
13,26,0
13,27,0
13,28,0
14,16,15
14,17,7
14,18,3
14,19,1
14,20,0
14,21,0
14,22,0
14,26,0
14,27,0
14,28,0
15,16,7
15,17,3
15,18,1
15,19,0
15,20,0
15,21,0
15,22,0
15,26,0
15,27,0
15,28,0
16,16,3
16,17,1
16,18,0
16,19,0
16,20,0
16,21,0
16,22,0
16,26,0
16,27,0
16,28,0
17,16,1
17,17,0
17,18,0
17,19,0
17,20,0
17,21,0
17,22,0
17,26,0
17,27,0
17,28,0
18,16,0
18,17,0
18,18,0
18,19,0
18,20,0
18,21,0
18,22,0
18,26,0
18,27,0
18,28,0
19,16,0
19,17,0
19,18,0
19,19,0
19,20,0
19,21,0
19,22,0
19,26,0
19,27,0
19,28,0
0,28,0
0,27,0
0,26,0
0,22,0
0,21,0
0,20,0
0,19,0
0,18,0
0,17,0
0,16,0
1,28,0
1,27,0
1,26,0
1,22,0
1,21,0
1,20,0
1,19,0
1,18,0
1,17,0
1,16,255
2,28,0
2,27,0
2,26,0
2,22,0
2,21,0
2,20,0
2,19,0
2,18,0
2,17,255
2,16,127
3,28,0
3,27,0
3,26,0
3,22,0
3,21,0
3,20,0
3,19,0
3,18,255
3,17,127
3,16,63
4,28,0
4,27,0
4,26,0
4,22,0
4,21,0
4,20,0
4,19,255
4,18,127
4,17,63
4,16,31
5,28,0
5,27,0
5,26,0
5,22,0
5,21,0
5,20,255
5,19,127
5,18,63
5,17,31
5,16,15
6,28,0
6,27,0
6,26,0
6,22,0
6,21,255
6,20,127
6,19,63
6,18,31
6,17,15
6,16,7
7,28,0
7,27,0
7,26,0
7,22,255
7,21,127
7,20,63
7,19,31
7,18,15
7,17,7
7,16,3
8,28,0
8,27,0
8,26,255
8,22,127
8,21,63
8,20,31
8,19,15
8,18,7
8,17,3
8,16,1
9,28,0
9,27,255
9,26,127
9,22,63
9,21,31
9,20,15
9,19,7
9,18,3
9,17,1
9,16,0
10,28,255
10,27,127
10,26,63
10,22,31
10,21,15
10,20,7
10,19,3
10,18,1
10,17,0
10,16,0
11,28,127
11,27,63
11,26,31
11,22,15
11,21,7
11,20,3
11,19,1
11,18,0
11,17,0
11,16,0
12,28,63
12,27,31
12,26,15
12,22,7
12,21,3
12,20,1
12,19,0
12,18,0
12,17,0
12,16,0
13,28,31
13,27,15
13,26,7
13,22,3
13,21,1
13,20,0
13,19,0
13,18,0
13,17,0
13,16,0
14,28,15
14,27,7
14,26,3
14,22,1
14,21,0
14,20,0
14,19,0
14,18,0
14,17,0
14,16,0
15,28,7
15,27,3
15,26,1
15,22,0
15,21,0
15,20,0
15,19,0
15,18,0
15,17,0
15,16,0
16,28,3
16,27,1
16,26,0
16,22,0
16,21,0
16,20,0
16,19,0
16,18,0
16,17,0
16,16,0
17,28,1
17,27,0
17,26,0
17,22,0
17,21,0
17,20,0
17,19,0
17,18,0
17,17,0
17,16,0
18,28,0
18,27,0
18,26,0
18,22,0
18,21,0
18,20,0
18,19,0
18,18,0
18,17,0
18,16,0
19,28,0
19,27,0
19,26,0
19,22,0
19,21,0
19,20,0
19,19,0
19,18,0
19,17,0
19,16,0
